id,session_id,perfil_id,score,created_at
38,50be73c9-09ac-4057-a362-9477094dbe22,est_1,1.0,1779215464288
39,c45a0e38-635b-4563-96e0-db13e8796e30,est_1,1.0,1779215625572
40,4c17160e-598b-4cb8-a26f-173e9b3896f5,est_1,1.0,1779215635035
41,bb8d762b-72c3-409e-adc1-1f733eae03d8,est_1,1.0,1779215663314
42,2b79b63c-61f9-4802-9125-f0930134d7d7,est_0,1.0,1779215913614
43,e23d8d66-cae9-420e-9c9d-e8203b8bf5fe,tec_0,1.0,1779216177403
44,46f77571-48e9-4872-a658-e94ab95394f3,crea_0,1.0,1779216200557
45,a17d254c-2cf8-4452-a13c-cf0fd99d1c30,crea_0,1.0,1779216232167
46,af260395-2d8c-4b98-af9a-ccb814346178,est_0,1.0,1779216256294
47,b786143f-5b5d-4306-9522-23f8063ecaed,tec_0,1.0,1779216458300
48,2e7f2a3a-edd6-404c-882f-6e082a4f2a60,crea_0,1.0,1779216487986
49,701b6cb3-3464-4b39-9b9c-db627c546d30,soc_0,1.0,1779216511026
50,828ddc15-abea-4328-8110-1d4258e4d49d,est_0,1.0,1779216532417
51,cb043d72-1471-4027-9da4-3e0a68826959,tec_0,1.0,1779217056433
52,603410f8-5341-4362-ae32-c683700afd3e,tec_0,1.0,1779218593145
